postUrl,action,imgUrl,postContent,type,likeCount,commentCount,postDate,viewCount,profileUrl,timestamp
https://www.linkedin.com/feed/update/urn:li:activity:6733670217915871232,Post,,"#RShiny translations are easy with shiny.i18nUsing JSON or CSV for providing translations, you can easily give your Shiny app different languages.One thing that is missing in a lot of examples I found is  a way to really separate your code from your texts. Even in the official example it is like this:""translation"": [      {""en"": ""Hello Shiny!"", ""pl"": ""Witaj Shiny!""}]Works good, and still has room for improvement. If you ever want to change the English text, you also have to search for every occurrence of it in your code - annoying.Adding another ""technical"" language, which you will never adjust but only use for reference in your code makes your life a lot easier:""translation"": [      {""key"": ""app.welcome"", ""en"": ""Hello Shiny!"", ""pl"": ""Witaj Shiny!""}]Your R code will be using only the technical keys and never ""real"" language. All our real texts/strings/translations will stay in our translation file and nowhere else.What do you think? How do you handle translations in your Shiny apps?(Link to shiny.i18n: https://lnkd.in/d799TdV)#r #i18n #shinyi18n",Text,3,1,4h,346,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.580Z
https://www.linkedin.com/feed/update/urn:li:activity:6732983806216704000,Post,,"Private functions of R6Classes in #R, should I test them?In general, I like to write unit tests for the smallest amount of code possible. If it is a function with let's say three lines, it gets one or several unit tests. But what do you do, if it is a private function inside of an R6Class? There are ways to access private functions from outside. But the real question is: Should you?I say: Don't test it, don't test any private functions.1. Only public functions really matter.Your public functions should always and safely return the correct results. That is the only important thing. Don't waste your time on unimportant things.2. Write enough tests to trust your code.You could argue, that you can have more trust in your code, when you test every little piece on its own, even private functions. If this is your concern, you should more likely start to redesign your classes. Write more classes, instead of big classes. Think about writing a more generlazied public interface of your class.Think more about what should be publicly accessible from this class, not about what do I need right now.What do you thing about testing private and public functions?#unittesting #r #codequality",Text,6,8,2d,1262,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.581Z
https://www.linkedin.com/feed/update/urn:li:activity:6730393822829809664,Post,,"Lately, I got some messages with questions on how to get a datascience job or on which learning path to choose. Let me be clear: I don't know. Yes, I landed a job. But no, I don't really know why. And I certainly don't have a recipe on how to do it again.All I got is my own story, which I'm happy to share. I can offer my opinion on your personal road / CV. Oh, and specific questions will help you so much more than something like ""guide me"" or ""help me land a job"". Better ask something like ""I have done x and y with z, now I'm looking for something to gro skill b. Do you have an idea?"" Be clear about where you stand right now and where you want to go. There are lots and lots of people out here willing to help.And don't forget to follow these two:Michael GreenEric Sims#breakingintodatascience",Text,19,1,1w,2172,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.581Z
https://www.linkedin.com/feed/update/urn:li:activity:6722415405282947072,Post,,"Hallo Leute, ich habe ein berufliches Anliegen an euch. Meine Firma functionHR nimmt am Personalwirtschaftspreis 2020 teil und freut sich über Stimmen. Wenn ihr Lust habt, dann stimmt für uns auf Seite 3 der Umfrage für ""Hammerer Aluminium Industries: „Mit #PeopleAnalytics die Employee Experience der blue collars optimieren“ bei der Umfrage https://lnkd.in/dVVsN4x. Gerne auch über Social Media teilen 🙂",Article,4,0,1mo,371,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.581Z
https://www.linkedin.com/feed/update/urn:li:activity:6721367974466330624,Post,,"Gitlab and #R work nicely together.I finally set up the first working steps in our continuous integration pipeline with Gitlab. 1. Our code is checking for linting-problems, which is wrapped in a unit-test. If any linting problem is found, the test fails.2. All unit tests are run and failing tests are shown in the Gitlab-UI.3. If any test fails, the whole build fails.For part 3 I save the result of testthat to a XML file in JUnit format. Most CI-systems I know can handle JUnit test-reports and Gitlab is no exception.options(testthat.output_file = ""test-report.xml"")testthat::test_dir(""tests/testthat"", reporter = ""junit"")'#continuousintegration #gitlab #codequality",Text,18,5,1mo,1261,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.582Z
https://www.linkedin.com/feed/update/urn:li:activity:6717426281610285056,Post,,"Frustrated with Gitlab and #R 😕My goal is to create a small CI/CD pipeline. It should apply lintr to my project, generate a report, and then show me the results.So far I managed to apply lintr to my project and generate a checkstyle XML-file with all the results. Awesome! I imagined I could feed this checkstyle XML to some kind of reporting, which shows me in the Gitlab-UI, what is wrong and where exactly. After about two days of really frustrating work, reading documentation, and collecting small bits of information, I'm not sure if I will be able to finish this. Maybe stick to good old Bitbucket.I can generate nice Code Quality output with Code Climate. But Code Climate doesn't support R 😥Finally, as far as I got it, Gitlab doesn't come with any kind of Code Quality checks by itself, it has to be extended. Does anybody know of something nice to make Gitlab, R and lintr work together like a team?#r #continousintegration #gitlab #lintr",Text,2,5,1mo,877,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.582Z
https://www.linkedin.com/feed/update/urn:li:activity:6716986444327477248,Post,,"Gitlab with #R and .Rprofile. I'm setting up my first CI-pipeline with Gitlab. In my .Rprofile I'm running lintr (https://lnkd.in/d-KGB-p) to check my project every time I start it. But with this super-simple starter pipeline, it always failed:.gitlab-ci.yml:image: r-basetest:  script:  - R -e 'install.packages(c(""lintr"", ""styler"", ""testthat""))'Turns out, .Rprofile is evaluated before install.packages and therefor R wants to use a package, that's not (yet) installed. I suppose I have three options now:- remove lintr/styler from .Rprofile- don't use .Rprofile on CI-Server (=Gitlab)- learn more about Gitlab-CI, maybe there is a clever wayHave you some experience about #continuousintegration  with #R to share?",Text,17,8,1mo,1878,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.582Z
https://www.linkedin.com/feed/update/urn:li:activity:6714467079539445760,Post,https://media-exp1.licdn.com/dms/image/sync/C4D27AQGEQ-nj4kGfpA/articleshare-shrink_480/0?e=1605535200&v=beta&t=BcLc5Q6y6X_ZbuUesW1J3jH1ECAQtYLSCJVHM2C7w5E,"I recently learned about the file .Rprofile when using #RStudio. Finally I'm able to do linting and automatic code-styling as a first thing in my projects.I place it in the folder of my project and whenever I open this project, the .Rprofile gets sourced first. Which makes it the perfect place for all kind of initial work.I use it to apply automatic code styling with the Styler package (https://lnkd.in/d9qPJnQ) and afterwards a round of Linting with lintr (https://lnkd.in/d-KGB-p)Everything with only this code:library(lintr)library(styler)styler::style_dir(""."")lintr::lint_dir(""."")Next thing, I want to find how to apply Styler whenever I save a R-file.#programming #r #codequality",Image,31,10,1mo,2837,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.582Z
https://www.linkedin.com/feed/update/urn:li:activity:6713724695964880896,Post,,"Top 3 skills I used in my first 6 months as a #DataScientist:- Data Wrangling- Visualization- CommunicationAlthough I also used some statistics, did some machine learning, they were comparable small parts of my work. I read a lot about what you need to be a succesful data scientist. Like a solid foundation in math and statistics. This may be true for other data scientist. For me, these are the things that I need on a daily basis:- R data tables- R Shiny- PlotlyKnowing these three really well is the basis of my current work.In the future, this will probably change. Right now für my job (which I like very much) I will focus on getting these core skills up.",Text,68,5,1mo,5456,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.582Z
https://www.linkedin.com/feed/update/urn:li:activity:6709845415325405188,Post,https://media-exp1.licdn.com/dms/image/C4D22AQESs4YIbJE75g/feedshare-shrink_2048_1536-alternative/0?e=1608163200&v=beta&t=0Suf4bT-Ou4GXZt4Lv9a8gGrdIelLSo3vv7u_-46RbI,"Modular code in #R - I'm still figuring it out. How do you structure your code inside of a package? I found the Modules-Package (https://lnkd.in/diGYmdb), but since the last update is nearly a year ago, I'm not sure if its still the way to go.But this code seems to work just fine, using just functions and environment. What do you think? Is there a nicer way?",Image,3,0,2mo,601,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.583Z
https://www.linkedin.com/feed/update/urn:li:activity:6709398354020864000,Post,,"Convert a SQLite-table to a JSON-File is actually pretty easy with #R :data_path <- file.path(""data/somedata.sqlite"")db = dbConnect(RSQLite::SQLite(), dbname=data_path)data <- data.table(dbReadTable(db, ""sometable""), fileEncoding=""UTF-8"")jsonData <- toJSON(data, simplifyDataFrame = TRUE)write(jsonData, ""output.json"") Code likes this makes me ❤ R",Text,44,5,2mo,3589,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.583Z
https://www.linkedin.com/feed/update/urn:li:activity:6704354083496570880,Post,,"#CandidateExperience - who really cares?I like to share my personal story. In my life, I probably applied for about 200 jobs/projects. The vast majority of these companies didn't ask about my experience as a candidate. I'm wondering why. Possible reasons:- not enough time- not realizing the benefits- not seeing any chance for improvementAs a candidate, sometimes I have a very clear opinion about why I reject a company.  These things were bothering me the most in the past:- long waiting time- no feedback about the processAnd those two examples are so easy to fix. I'd appreciate even a small mail saying ""takes some more days, team can review applications not before Tuesday, I give you an update on Friday"". So much better than silence.More information about your recruiting process- leads to improvements- can save money- can save time- makes recruiter more effective- makes candidates happyWhat do you think about #CandidateExperience? Is your company collecting this data?",Text,12,3,2mo,1511,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.583Z
https://www.linkedin.com/feed/update/urn:li:activity:6701041340932755456,Post,,"At the weekend, I took my first steps in #timeseriesanalysis with #R. Fascinating! There is so much more to it than I initially thought. So far I learned to explore time series and predict future values, which is already awesome. What I really want to do, is take the pattern in one time series and use it to predict future values in another time series. Sooner or later I will get there.The most interesting part of it was, that analysing time series is so much more than just using another algorithm. It felt to me like a different mindset in analyzing.",Text,31,8,3mo,3157,https://www.linkedin.com/in/peterboesenberg/,2020-11-15T13:54:11.583Z
